CO2,Pressure,Temperature,Humidity, Room, Position, Sensor ID,time
1456,96638,29.951999999999998,23.773,none,Calibration,B8:27:EB:34:50:CA,1675874549
1525,96645,30.467,17.77,none,Calibration,B8:27:EB:86:0C:42,1675874550
1453,96627,30.633,17.835,none,Calibration,7C:3F:E7:16:00:69,1675874612
1531,96622,30.521,18.395,none,Calibration,B8:27:EB:B1:D5:C6,1675874614
1491,96647,30.296,24.15,none,Calibration,B8:27:EB:98:CF:BA,1675874615
1496,96642,29.14,19.006,none,Calibration,B8:27:EB:0F:85:C3,1675874617
1443,96630,29.989,23.747,none,Calibration,B8:27:EB:34:50:CA,1675874618
1521,96634,30.459,17.694,none,Calibration,B8:27:EB:86:0C:42,1675874620
1447,96623,30.625,17.765,none,Calibration,7C:3F:E7:16:00:69,1675874682
1521,96627,30.497,18.312,none,Calibration,B8:27:EB:B1:D5:C6,1675874684
1487,96653,30.291,24.089,none,Calibration,B8:27:EB:98:CF:BA,1675874685
1477,96644,29.121,18.934,none,Calibration,B8:27:EB:0F:85:C3,1675874687
1437,96643,29.96,23.672,none,Calibration,B8:27:EB:34:50:CA,1675874689
